Deposit,Scale,Country,Longitude,Latitude,Tectonic_Province,Deposit_Type,Resource,Total_Tonnage_Mt,Au_Grade_g_t,Au_Tonnage_Moz,Cu_Grade_percent,Cu_Tonnage_Mt,Age,FROMAGE,TOAGE,Dating_Method,Age_for_plot_Ma,Age_group,Age_Reference
Gold Ridge,Mine,Solomon Islands,160.14,-9.58,Island Arcs,Epithermal,Au-Ag,64.2,1.5,3.4,NaN,NaN,1.6-1.5 Ma,1.6,1.5,Ar-Ar (Adl),0-3,1,This study
Hidden Valley (PNG),Mine,PNG,146.67,-7.46,NGO,Epithermal-porphyry,Au-Ag,42,1.6,2.4,NaN,NaN,4.2 Ma,4.2,4.2,K-Ar (Adl),3-6,2,"Nelson et al., 1990"
Kainantu,Mine,PNG,145.86,-6.2,NGO,Porphyry,Cu-Au,5.5,7.2,1.4,1.8,0.1,9.4-6.2 Ma,9.4,6.2,U-Pb (zircon),6-9,3,"Holm et al., 2015"
Ladolam (Lihir),Mine,PNG,152.63,-3.13,Island Arcs,Epithermal-porphyry,Au,820,2.2,63.6,NaN,NaN,0.7-0.15 Ma,0.7,0.15,K-Ar (WR Bt Ilt Kfs),0-3,1,"Moyle et al., 1990"
Ok Tedi,Mine,PNG,141.14,-5.21,NGO,Porphyry-skarn,Cu-Au,911,0.52,16.7,0.43,3.9,1.4-1.1 Ma,1.4,1.1,U-Pb (zircon),0-3,1,"van Dongen et al., 2010b"
Panguna,Mine,PNG,155.5,-6.33,Island Arcs,Porphyry,Cu-Au,1838,0.34,22,0.3,5.5,3.4 Ma,3.4,3.4,K-Ar (WR Bt Kfs Pl),3-6,2,"Page and McDougall, 1972a"
Porgera,Mine,PNG,143.08,-5.46,NGO,Porphyry,Au,68.2,4.4,10.6,NaN,NaN,6.1-5.1 Ma,6.1,5.1,Ar-Ar (Bt Hbl),3-6,2,"Richards and McDougall, 1990"
Simberi,Mine,PNG,151.97,-2.75,Island Arcs,Epithermal,Au,120.9,1.3,5.5,NaN,NaN,3.6-1.9 Ma,3.6,1.9,H-Ar (WR Alu Pl) Ar-Ar (Amp Cpx),0-3,1,"McInnes, 1992; Rytube et al., 1993"
Sinivit (Wild Dog),Mine,PNG,152.05,-4.61,Island Arcs,Epithermal,Au,0.96,5.83,0.2,NaN,NaN,> Middle Miocene,24,21,Stratigraphic,21-24,6,"Lindley, 1990"
Tolukuma,Mine,PNG,147.13,-8.56,NGO,Epithermal,Au,0.3,29.9,0.3,NaN,NaN,Pliocene,5.3,2.6,K-Ar (WR?),3-6,2,"Langmead and McLeod, 1990"
