Time (Ma),Mean plate velocities (cm/yr),Standard deviation (cm/yr)
0.000000000000000000e+00,3.164400975555021311e+00,2.204748624113311628e+00
1.000000000000000000e+00,3.165366864341245368e+00,2.212430003725311511e+00
2.000000000000000000e+00,3.160429709764478012e+00,2.207300804244101577e+00
3.000000000000000000e+00,3.166446567545723845e+00,2.210160371539692470e+00
4.000000000000000000e+00,3.175578712138678927e+00,2.218156044108797076e+00
5.000000000000000000e+00,3.286606025172085221e+00,2.417062432504272884e+00
6.000000000000000000e+00,3.243012285545810336e+00,2.373323132866302920e+00
7.000000000000000000e+00,3.238271885878197143e+00,2.370398849064667690e+00
8.000000000000000000e+00,3.244506228002064674e+00,2.377249948181777484e+00
9.000000000000000000e+00,3.247938060771081936e+00,2.380712640461409624e+00
1.000000000000000000e+01,2.951911559303930233e+00,2.827026417432713767e+00
1.100000000000000000e+01,2.866855753285165065e+00,2.602507896989685321e+00
1.200000000000000000e+01,2.860087488657079291e+00,2.591200168917725755e+00
1.300000000000000000e+01,2.871199733607059379e+00,2.625118540976339343e+00
1.400000000000000000e+01,2.872957953474486015e+00,2.628037963229342910e+00
1.500000000000000000e+01,2.838382661453863420e+00,2.578670736345395564e+00
1.600000000000000000e+01,2.859477163123020027e+00,2.590444631262140085e+00
1.700000000000000000e+01,2.849675177430953887e+00,2.554985347763516934e+00
1.800000000000000000e+01,2.828825791343530405e+00,2.528952638901063921e+00
1.900000000000000000e+01,2.824806941153673367e+00,2.526196758947780285e+00
2.000000000000000000e+01,2.933923986520565741e+00,2.524369932895775825e+00
2.100000000000000000e+01,2.941235610864238126e+00,2.540297402430616636e+00
2.200000000000000000e+01,2.946880386231499838e+00,2.546505458241605790e+00
2.300000000000000000e+01,2.923890198228871196e+00,2.476204468491285393e+00
2.400000000000000000e+01,2.923662817268866121e+00,2.471900713098374780e+00
2.500000000000000000e+01,3.022278380732498881e+00,2.705773006386853474e+00
2.600000000000000000e+01,2.903665972429694264e+00,2.538709779591533877e+00
2.700000000000000000e+01,2.810986705839838784e+00,2.582673313840269103e+00
