Time (Ma),Global average plate velocities (cm/yr),Standard deviation of global average plate velocities (cm/yr)
250.0,1.0219092464813342,1.472798868687339
249.0,3.370634341453242,2.6559612627386575
248.0,3.3583788068583442,2.6291409687480547
247.0,3.3581855346265743,2.6271700504104465
246.0,3.3579860089722398,2.625230400800668
245.0,3.3577813791044324,2.6233255936472353
244.0,3.3284686345664607,2.394563357162028
243.0,3.3284392798147704,2.395466829230086
242.0,3.328409212412649,2.3964163965948826
241.0,3.3283796128808314,2.3974151001217967
240.0,3.3283516688807855,2.398465897436663
239.0,3.505553024767813,2.4245480997329167
238.0,3.5047354379256492,2.4226169381825238
237.0,3.503924625666932,2.420808365850272
236.0,3.503121972368738,2.4191253493592897
235.0,3.5023288459815305,2.417570697991214
234.0,3.3987233077572956,2.469118904198987
233.0,3.397694637255511,2.4676198141899457
232.0,3.396679657405363,2.466256617399515
231.0,3.3956797289875578,2.4650316402340544
230.0,3.39469598013511,2.4639465805471206
229.0,2.871470379542714,1.2695305355378315
228.0,2.870275199578119,1.2658956319338286
227.0,2.869114033537891,1.2624213643260525
226.0,2.867989454598353,1.259112479496839
225.0,2.866904058038668,1.2559735848123907
224.0,2.815732928967991,1.273265302615178
223.0,2.8147504020563257,1.2704337625912934
222.0,2.813814501566158,1.2677887673071626
221.0,2.8129277602462834,1.26533486607544
220.0,2.812092644848397,1.2630765288589298
219.0,3.8513612194995805,1.233096909066836
218.0,3.8508221270783696,1.233320414272685
217.0,3.8503432897647807,1.2337147899119165
216.0,3.849926660453024,1.2342826783329501
215.0,3.849574389364983,1.2350268143826857
214.0,3.7790620435946267,1.2523583819902326
213.0,3.7788182900475475,1.2534212052633096
212.0,3.7786441447713384,1.2546783153491976
211.0,3.778541466465609,1.2561323130361428
210.0,3.7785121043954457,1.257785380177081
209.0,3.2162210968201466,1.1581088084823
208.0,3.216282510635763,1.1596396422428248
207.0,3.216424897042992,1.1613730758293086
206.0,3.2166498466343585,1.1633088993505083
205.0,3.2169599716946813,1.1654436162682564
204.0,3.1622393705944716,1.1800544964005337
203.0,3.162689519668649,1.182573629307849
202.0,3.163222858504789,1.1853119367783909
201.0,3.1638357216605075,1.188280656186441
200.0,3.1592515603636335,1.1844174997720478
199.0,1.8261524391571502,1.0639328147081688
198.0,1.825859111264073,1.0638744759116252
197.0,1.8255745116548903,1.0638313888691013
196.0,1.8252994710546397,1.0638018209958986
195.0,1.825034405707305,1.063784740569564
194.0,1.8428869287827638,1.0733487845802085
193.0,1.8426360929582168,1.0733639448261947
192.0,1.8423928648025734,1.0733941696891183
191.0,1.8421565286821575,1.0734403536818475
190.0,1.8419198278381543,1.0734729613719889
189.0,1.33888067851923,1.474050288607274
188.0,1.3389616236164945,1.4730361547177213
