Time (Ma),Total ridge length (km),Mean ridge spreading rate (cm/yr),Mean ridge spreading rate SD (cm/yr),Crustal formation rate (km^2/yr),Total subduction zone length (km),Mean trench convergence rate (cm/yr),Mean trench convergence rate SD (cm/year),Crustal subduction rate (km^2/yr),Total transform length (km)
0.0,57.40211650086083,5.061826205324276,3.8386835433020017,2.898226001316967,62.463609947430534,4.423566987452113,3.150074676259641,2.7617673832195417,33.999678558941554
1.0,56.521291561289246,5.161512842984761,4.12309146134141,2.9198565121600546,62.10974796809993,4.593138450287382,3.623602627132655,2.849402607046898,31.779614472202198
2.0,57.61650674816506,5.017941772430314,3.9307431904089127,2.8933739362215576,62.36944369782109,4.4680056635364105,3.4747272322049905,2.7790880198378263,31.840963338017264
3.0,57.00705097927083,5.117868401450224,4.007741497962427,2.919854874395349,64.2362270317831,4.403297604955088,3.613334664709137,2.7589283790026857,32.1603559002081
4.0,57.07374343313121,5.264257616155959,4.0898994110713565,3.007117714116827,66.55978512678843,4.278004937019463,3.4274433870826475,2.8287634330098688,32.81365689471618
5.0,56.10050579075213,5.298817334129325,4.3493727980782975,2.9753709487513835,66.18740134385558,4.860847773670005,3.743751137703477,3.194066941532089,32.54667397306416
6.0,57.434265919100845,5.100276829197534,3.9443620016082876,2.9315850930726723,66.09820307790619,4.763679970905862,3.7923535421885854,3.1254208498384655,36.389463841151205
7.0,56.69510115515555,5.064757920354079,4.013295994522054,2.8737375955543274,66.74159493838506,4.5386986977687656,3.512400363378669,3.0075225459225927,35.37839049204845
8.0,55.48102955394058,5.122113246480586,4.121287265932574,2.844245809089404,66.78333383982432,4.479472373523168,3.4391588079754003,2.970694135878865,36.53419641962425
9.0,56.44810261674248,5.108333073680911,4.103678836235516,2.8861489931856767,65.54527424582751,4.525166009751941,3.3999461322945326,2.945146127745165,35.54237765527726
10.0,56.51688716214704,5.463801850431907,4.4765688035261135,3.090948406564078,64.1968832722482,4.614645408685594,3.8534632442334056,2.9408073144625853,35.87544620085198
11.0,57.990680986850954,5.319492061566509,4.442090752118875,3.087572128242952,62.79793140753759,4.366688130936008,3.6396217585914417,2.7227565241988847,34.27866666265481
12.0,55.2271445502058,5.417835021840007,4.482267491678266,2.9951061358639803,62.6729039077171,4.178428929235406,3.5450204226534088,2.6008423626101447,32.97274136835434
13.0,55.44380949390177,5.5127039253184265,4.746019284087207,3.059643953499819,66.3153923245589,4.053377435440022,3.524291972532238,2.6508490940984633,34.00705641467688
14.0,56.51826002455347,5.438920828029368,4.720196491123103,3.076822738901,66.19642539496385,3.8669868543624837,3.44032885428241,2.522546217821711,33.00561491092608
15.0,61.371277831115265,5.504056548156456,4.832877868034142,3.3811041034203653,71.38945552928894,4.344714516837801,3.535950947384349,2.997446146914591,35.99530666309285
16.0,62.334071121876846,5.335121419425691,4.82061783324777,3.3285391721546165,71.19314174886645,4.419665146190212,3.5920353872591826,3.1139627929883624,32.58794694409712
17.0,62.49696586362116,5.353692039078022,4.6205612010403305,3.3483389633135663,71.5245811287037,4.38784749407932,3.6916907131214707,2.969564681562807,30.69335227987112
18.0,64.58060065871004,5.263871668687002,4.497803224418877,3.4018597066166887,71.73664349129868,4.56044131908426,3.768971298556578,3.0995726001940636,29.046694177802813
