Time (Ma),Total ridge length (km),Mean ridge spreading rate (cm/yr),Mean ridge spreading rate SD (cm/yr),Crustal formation rate (km^2/yr),Total subduction zone length (km),Mean trench convergence rate (cm/yr),Mean trench convergence rate SD (cm/year),Crustal subduction rate (km^2/yr),Total transform length (km)
0.0,58.94037974947436,4.966702391548501,3.8341881562061237,2.921383552326907,65.25620239192881,4.01382337979953,3.236238143414125,2.55173359040151,36.95702672891151
1.0,55.62891805172306,4.932794198177564,3.9407710608406585,2.747154871710048,66.03545689762231,4.102699306791347,3.6629290852202914,2.7242298305369483,34.26440424289059
2.0,56.80729440447851,4.975085795916147,3.943305997133585,2.828952148502272,65.83879664481981,3.886184201844397,3.2821275803913657,2.5601860082979493,34.62113969705686
3.0,58.32273227964124,5.046393134416287,3.9619044695703662,2.945978371036196,67.90348698859059,4.005238751480514,3.2940176034577155,2.6767280588520674,35.68909854388298
4.0,57.9378216691356,5.193719233141227,4.13056957090706,3.0122927618301754,70.22345658010717,4.106032615145489,3.3125249697032433,2.8488276693746273,36.23249947518768
5.0,56.223667168707124,5.250146920930922,4.378642639461112,2.9549450565129627,69.8372530150291,4.641699811120292,3.849809541645044,3.186246236223589,35.472312525852935
6.0,57.529943583853964,5.025170520253871,3.9512972682204084,2.8942830231372936,69.14883943777876,4.491107886671494,3.882612296340299,3.1095689201539707,36.368826315025956
7.0,56.788101241388134,4.992306453425557,4.0411635367422045,2.83847304243932,67.87932229729908,4.32676244002714,3.5907576629944953,2.9934640783061024,35.706301206837715
8.0,55.70115740321623,5.056010848360088,4.140832019239923,2.819208780582061,67.99632447516528,4.338859124996507,3.421100811794317,3.011358775500895,36.85990244541836
9.0,56.788533487206806,5.023579386903931,4.132197862634019,2.8557621057543896,69.52605105459416,4.359196877578418,3.4127553816418965,3.0243362352338696,35.72572581687283
10.0,56.97280896500996,5.419280848030275,4.47810028404783,3.0911672783731308,67.25294038229043,4.5314327074266325,3.7752842003818308,3.1073987340742044,37.24318837422014
11.0,55.09884547748448,5.426617811036236,4.547686955978378,2.993745946640779,66.92392130956735,4.555627400056215,3.890922882658305,3.1220860051881667,34.13058735435546
12.0,54.78541124882682,5.5313341830799985,4.546630939215023,3.034253713934122,65.92882326038009,4.327348771715593,3.7809138353715133,2.9297253772165477,32.92168982120577
13.0,55.21734195984049,5.615656044658199,4.7871903884183356,3.1047837690454636,66.71083942761251,4.381065080328035,3.9969385326301112,2.9975225087774016,33.46869616649269
14.0,56.36783806637175,5.567242172204297,4.771663888775431,3.141793887141412,66.06112961693921,4.611774966857798,4.126408585639569,3.157252744755513,32.398717385392985
15.0,56.445485332781,5.278200599553153,4.730584620225393,2.9830283023532,67.82512528785536,4.696749391681799,4.396303916528238,3.2908816683268625,34.5679721037345
16.0,55.21002646066886,5.715668344433949,4.983172033190891,3.160680125791865,67.02431437442497,4.826202231033567,4.39590217332007,3.4130879731013772,35.07219919239534
17.0,56.6408877698287,5.721788600254477,4.7508377268261315,3.245455334484266,68.6994501445957,4.4113261284240775,3.8971634680534466,3.10601995141066,33.83546337949363
18.0,59.37355299297994,5.61791297083784,4.607689434858156,3.339753505192641,70.13800477956084,4.569415098763523,4.033613623654832,3.268986492652497,31.47508140361002
19.0,60.05160712363958,5.670083661011102,4.596277385989834,3.409168031999803,69.90590067356327,4.579060929345778,4.112716756730042,3.2598176628495508,30.636334358632137
20.0,60.871729002960656,5.745035258084623,4.208665936731216,3.5014115194226814,71.7830016559055,4.698255233006913,3.9867148277876714,3.3421249547999494,29.726880584731255
21.0,60.695785179897584,6.0105706780020345,4.481645504194423,3.6525808182940556,68.22398011144199,5.063851533192824,4.057323082003318,3.587826812637736,30.03562187415383
22.0,59.99381238740644,6.115442062449163,4.539035182358307,3.673171896658576,67.94547269327728,5.226144705359403,4.125754533495547,3.689489649672442,30.568510371018775
23.0,57.00501277083239,5.954671972953928,4.415129192799802,3.3986610233914765,66.71628109768542,5.113278199642295,3.8883539439154533,3.5697002658647383,30.196428480446993
24.0,57.383253513072496,5.781560457036644,4.3066461990809035,3.3216454948512584,64.15571095163645,4.943195201086153,3.8494926223726877,3.3291628398070037,30.547454371715816
25.0,57.874238888354654,5.810801910282735,4.369559994582412,3.3670438053245952,64.37824753377002,5.775834659354232,5.196020987415047,3.906431576864609,30.58632276840244
26.0,65.62709145052986,5.864629957146321,4.269042105453216,3.8529670191815497,61.381248696206264,5.900440169963836,4.841411715426188,3.68729560689451,29.122405552200917
27.0,64.48576735056332,5.6091781408437,4.186924800154449,3.6209220647684743,63.09174826546265,5.549240984016291,4.8360662977677755,3.488449610215216,30.19507756026422
28.0,65.4149800618556,5.789247362412126,4.627582350093282,3.7903021940486243,62.79578544487083,6.204323966001163,5.353154946068087,4.0251413647864664,30.015438798726958
29.0,65.32544501182632,5.6350494257019035,4.425648082016508,3.684915886750078,63.5560278792427,5.6734654479070015,4.980789703441355,3.7107166694907243,30.244332092464518
30.0,65.18995436253404,5.546423465039742,4.452612905566075,3.619413880306836,65.66161667211426,5.357964881987563,4.4970071806104785,3.5512920273235795,30.818853918607328
31.0,60.736652911821245,5.675563881715797,4.377402204413972,3.4512939619547267,66.24948492565576,5.236376734377011,4.481053030713571,3.5301942291319777,31.039351049990547
32.0,61.48604574953467,5.625165930774901,4.377914245496271,3.46275147407883,65.48399475154748,5.261268852765757,4.4753418562336895,3.534169459607173,31.096738168709095
33.0,65.663476553125,5.159522019907102,4.3191783078793,3.3913958506230126,63.71268802393321,5.065210416264866,4.586740781050316,3.321336311206415,34.107227235185825
34.0,67.49679058482798,5.245129155849183,4.372692101783976,3.5425946080360458,63.53115481673458,5.390058284671135,4.415087353301783,3.584255912594867,36.847338999653765
35.0,72.199180122623,5.693602230727838,4.687796645666361,4.113932092040641,64.28263200288535,5.9581505251199225,4.888141012050888,4.007167704324372,38.769127523486986
36.0,71.28905624488894,5.200808547424224,4.306866841975598,3.7094558471892998,65.14689184263564,5.990490135948721,4.865250404954765,3.8647132721381516,37.489621749328435
37.0,70.42032182437153,5.096081961842393,4.228605244874341,3.5903608303859182,63.59812848444774,5.924856983245237,4.844303102718529,3.7301354118855294,36.88518730704513
38.0,69.40123189391267,5.134545689143484,4.327452241235226,3.5655422483883483,63.31540132204207,5.762613288824703,4.824648517974823,3.6117178075688576,39.426917147648574
39.0,70.03554874597046,5.066382770546224,4.3108460856238855,3.5503653909046076,62.87490640446652,5.728448903766278,4.883149862668878,3.511107657974197,38.065232355382946
40.0,65.36757011775245,5.059237931674975,4.390362020177449,3.3098902963096677,65.06490662128377,5.51205930769568,4.870392166109667,3.4117234769133002,41.48508367422606
41.0,67.04901355124953,5.723914919860859,4.876340188421423,3.8448668844273586,62.06812584807146,5.754373350039279,4.816005098877558,3.534117527594737,41.91647270586382
42.0,66.99688759910698,5.774311458362918,4.870917423925909,3.8754305338081663,61.22354360025368,5.801433994960611,4.807126612348895,3.553816749559229,41.9048482158227
43.0,66.76694138767081,5.7435747093553875,4.874724137754699,3.8418829953837257,62.5749774799339,5.5446656422773986,4.74072905492504,3.4294377893057315,41.7998959656283
44.0,66.68882591061247,5.743159865287916,5.517655907077356,3.840141408957592,62.1999313725797,5.011666107492553,4.744778905211357,3.085391250175216,47.40868838265307
45.0,66.2644338574632,6.101557584681604,5.97781926468328,4.054253098079176,62.80231373876999,5.1176923542459924,4.287413612620419,3.2177388678099494,48.59721185150684
46.0,64.33500326528012,6.017713520539134,5.287984626248863,3.8797814566541895,66.33046924365176,5.003316989634312,4.033383609632103,3.293264987014672,49.87840209444085
